route_id,driver_id_x,start_ts_x,end_ts_x,vehicle_id_x,ambulatory_riders_x,handicapped_riders_x,total_riders_x,status_x,updated_at_x,make,model,year,capacity,handicapped,updated_at_y,trip_start_lat,trip_start_lon,trip_end_lat,trip_end_lon,max_speed_mph,avg_speed_mph,trip_distance_miles
135748,15392.0,2022-02-09 10:12:03,2022-02-09 10:26:41,7,1,0,1,Completed,2022-07-23 23:54:04,Honda,Odyssey,2018,7,0,2021-03-02 16:24:58,40.1099147,-83.09043835,40.09855835,-83.10000683,48.406,34.910936306,0.78
135748,15392.0,2022-02-09 10:12:03,2022-02-09 10:26:41,7,1,0,1,Completed,2022-07-23 23:54:04,Honda,Odyssey,2018,7,0,2021-12-13 13:04:51,40.1099147,-83.09043835,40.09855835,-83.10000683,48.406,34.910936306,0.78
135749,15392.0,2022-02-09 12:28:51,2022-02-09 12:48:17,7,1,0,1,Completed,2022-02-18 19:39:34,Honda,Odyssey,2018,7,0,2021-03-02 16:24:58,40.06530519,-83.0882411,40.09581947,-83.09145776,47.624,19.388870968,2.11
135749,15392.0,2022-02-09 12:28:51,2022-02-09 12:48:17,7,1,0,1,Completed,2022-02-18 19:39:34,Honda,Odyssey,2018,7,0,2021-12-13 13:04:51,40.06530519,-83.0882411,40.09581947,-83.09145776,47.624,19.388870968,2.11
135749,15392.0,2022-02-09 12:28:51,2022-02-09 12:48:17,7,1,0,1,Completed,2022-07-23 23:54:05,Honda,Odyssey,2018,7,0,2021-03-02 16:24:58,40.06530519,-83.0882411,40.09581947,-83.09145776,47.624,19.388870968,2.11
135749,15392.0,2022-02-09 12:28:51,2022-02-09 12:48:17,7,1,0,1,Completed,2022-07-23 23:54:05,Honda,Odyssey,2018,7,0,2021-12-13 13:04:51,40.06530519,-83.0882411,40.09581947,-83.09145776,47.624,19.388870968,2.11
135745,15392.0,2022-02-11 18:51:29,2022-02-11 19:09:29,7,1,0,1,Completed,2022-02-18 19:39:41,Honda,Odyssey,2018,7,0,2021-03-02 16:24:58,40.09948888,-83.11378579,40.14357565,-83.12745986,47.78,28.026441441,3.04
135745,15392.0,2022-02-11 18:51:29,2022-02-11 19:09:29,7,1,0,1,Completed,2022-02-18 19:39:41,Honda,Odyssey,2018,7,0,2021-12-13 13:04:51,40.09948888,-83.11378579,40.14357565,-83.12745986,47.78,28.026441441,3.04
135745,15392.0,2022-02-11 18:51:29,2022-02-11 19:09:29,7,1,0,1,Completed,2022-07-23 23:53:58,Honda,Odyssey,2018,7,0,2021-03-02 16:24:58,40.09948888,-83.11378579,40.14357565,-83.12745986,47.78,28.026441441,3.04
135745,15392.0,2022-02-11 18:51:29,2022-02-11 19:09:29,7,1,0,1,Completed,2022-07-23 23:53:58,Honda,Odyssey,2018,7,0,2021-12-13 13:04:51,40.09948888,-83.11378579,40.14357565,-83.12745986,47.78,28.026441441,3.04
135744,15392.0,2022-02-11 14:40:27,2022-02-11 15:18:09,7,1,0,1,Completed,2022-02-18 19:39:43,Honda,Odyssey,2018,7,0,2021-03-02 16:24:58,40.07207357,-83.12458116,40.09322813,-83.14716315,44.872,23.768447761,1.46
135744,15392.0,2022-02-11 14:40:27,2022-02-11 15:18:09,7,1,0,1,Completed,2022-02-18 19:39:43,Honda,Odyssey,2018,7,0,2021-12-13 13:04:51,40.07207357,-83.12458116,40.09322813,-83.14716315,44.872,23.768447761,1.46
135744,15392.0,2022-02-11 14:40:27,2022-02-11 15:18:09,7,1,0,1,Completed,2022-07-23 23:53:56,Honda,Odyssey,2018,7,0,2021-03-02 16:24:58,40.07207357,-83.12458116,40.09322813,-83.14716315,44.872,23.768447761,1.46
135744,15392.0,2022-02-11 14:40:27,2022-02-11 15:18:09,7,1,0,1,Completed,2022-07-23 23:53:56,Honda,Odyssey,2018,7,0,2021-12-13 13:04:51,40.07207357,-83.12458116,40.09322813,-83.14716315,44.872,23.768447761,1.46
135741,15392.0,2022-02-11 10:02:10,2022-02-11 10:19:17,7,1,0,1,Completed,2022-02-18 19:39:45,Honda,Odyssey,2018,7,0,2021-03-02 16:24:58,40.11103432,-83.09067258,40.09848512,-83.10003244,49.347,30.991791908,0.87
135741,15392.0,2022-02-11 10:02:10,2022-02-11 10:19:17,7,1,0,1,Completed,2022-02-18 19:39:45,Honda,Odyssey,2018,7,0,2021-12-13 13:04:51,40.11103432,-83.09067258,40.09848512,-83.10003244,49.347,30.991791908,0.87
135741,15392.0,2022-02-11 10:02:10,2022-02-11 10:19:17,7,1,0,1,Completed,2022-07-23 23:53:52,Honda,Odyssey,2018,7,0,2021-03-02 16:24:58,40.11103432,-83.09067258,40.09848512,-83.10003244,49.347,30.991791908,0.87
135741,15392.0,2022-02-11 10:02:10,2022-02-11 10:19:17,7,1,0,1,Completed,2022-07-23 23:53:52,Honda,Odyssey,2018,7,0,2021-12-13 13:04:51,40.11103432,-83.09067258,40.09848512,-83.10003244,49.347,30.991791908,0.87
135716,15392.0,2022-02-12 17:13:13,2022-02-12 17:31:21,7,1,0,1,Completed,2022-02-18 19:39:54,Honda,Odyssey,2018,7,0,2021-03-02 16:24:58,40.07203382,-83.1245992,40.1208145,-83.15837412,65.228,25.092414013,3.37
135716,15392.0,2022-02-12 17:13:13,2022-02-12 17:31:21,7,1,0,1,Completed,2022-02-18 19:39:54,Honda,Odyssey,2018,7,0,2021-12-13 13:04:51,40.07203382,-83.1245992,40.1208145,-83.15837412,65.228,25.092414013,3.37
135716,15392.0,2022-02-12 17:13:13,2022-02-12 17:31:21,7,1,0,1,Completed,2022-07-23 23:53:13,Honda,Odyssey,2018,7,0,2021-03-02 16:24:58,40.07203382,-83.1245992,40.1208145,-83.15837412,65.228,25.092414013,3.37
