route_id,driver_id_x,start_ts_x,end_ts_x,vehicle_id_x,ambulatory_riders_x,handicapped_riders_x,status_x,updated_at_x,make,model,year,capacity,handicapped,updated_at_y,trip_start_lat,trip_start_lon,trip_end_lat,trip_end_lon,min_speed_mph,max_speed_mph,avg_speed_mph,trip_distance_miles
130429,2733.0,2022-01-17 19:53:06,2022-01-17 21:06:45,51,1,0,Completed,2022-01-21 18:30:11,Ford,,2010,14,0,2021-04-07 12:53:32,39.96201016,-83.31836515,39.97515696,-82.88122343,0.0,70.955,48.107742532,0.91
130429,2733.0,2022-01-17 19:53:06,2022-01-17 21:06:45,51,1,0,Completed,2022-01-21 18:30:11,Ford,,2010,14,0,2022-01-06 17:31:56,39.96201016,-83.31836515,39.97515696,-82.88122343,0.0,70.955,48.107742532,0.91
130429,2733.0,2022-01-17 19:53:06,2022-01-17 21:06:45,51,1,0,Completed,2022-07-23 18:19:31,Ford,,2010,14,0,2021-04-07 12:53:32,39.96201016,-83.31836515,39.97515696,-82.88122343,0.0,70.955,48.107742532,0.91
130429,2733.0,2022-01-17 19:53:06,2022-01-17 21:06:45,51,1,0,Completed,2022-07-23 18:19:31,Ford,,2010,14,0,2022-01-06 17:31:56,39.96201016,-83.31836515,39.97515696,-82.88122343,0.0,70.955,48.107742532,0.91
130318,2733.0,2022-01-12 15:21:19,2022-01-12 16:31:39,51,9,0,Completed,2022-01-21 18:32:31,Ford,,2010,14,0,2021-04-07 12:53:32,39.97317122,-83.08060471,40.09265884,-83.12658298,0.0,70.798,51.22557485,8.24
130318,2733.0,2022-01-12 15:21:19,2022-01-12 16:31:39,51,9,0,Completed,2022-01-21 18:32:31,Ford,,2010,14,0,2022-01-06 17:31:56,39.97317122,-83.08060471,40.09265884,-83.12658298,0.0,70.798,51.22557485,8.24
130318,2733.0,2022-01-12 15:21:19,2022-01-12 16:31:39,51,9,0,Completed,2022-07-23 18:15:07,Ford,,2010,14,0,2021-04-07 12:53:32,39.97317122,-83.08060471,40.09265884,-83.12658298,0.0,70.798,51.22557485,8.24
130318,2733.0,2022-01-12 15:21:19,2022-01-12 16:31:39,51,9,0,Completed,2022-07-23 18:15:07,Ford,,2010,14,0,2022-01-06 17:31:56,39.97317122,-83.08060471,40.09265884,-83.12658298,0.0,70.798,51.22557485,8.24
130188,2733.0,2022-01-12 20:01:10,2022-01-12 21:05:15,51,1,0,Completed,2022-01-21 18:33:31,Ford,,2010,14,0,2021-04-07 12:53:32,39.78586357,-82.94085126,39.97514695,-82.88113303,0.0,65.608,37.14020649,13.06
130188,2733.0,2022-01-12 20:01:10,2022-01-12 21:05:15,51,1,0,Completed,2022-01-21 18:33:31,Ford,,2010,14,0,2022-01-06 17:31:56,39.78586357,-82.94085126,39.97514695,-82.88113303,0.0,65.608,37.14020649,13.06
130188,2733.0,2022-01-12 20:01:10,2022-01-12 21:05:15,51,1,0,Completed,2022-07-23 18:09:44,Ford,,2010,14,0,2021-04-07 12:53:32,39.78586357,-82.94085126,39.97514695,-82.88113303,0.0,65.608,37.14020649,13.06
130188,2733.0,2022-01-12 20:01:10,2022-01-12 21:05:15,51,1,0,Completed,2022-07-23 18:09:44,Ford,,2010,14,0,2022-01-06 17:31:56,39.78586357,-82.94085126,39.97514695,-82.88113303,0.0,65.608,37.14020649,13.06
130179,2733.0,2022-01-11 05:06:08,2022-01-11 06:41:25,51,14,0,Completed,2022-01-21 18:33:37,Ford,,2010,14,0,2021-04-07 12:53:32,40.00121386,-82.98458015,40.12090344,-83.09449376,0.0,66.66,40.523380471,8.26
130179,2733.0,2022-01-11 05:06:08,2022-01-11 06:41:25,51,14,0,Completed,2022-01-21 18:33:37,Ford,,2010,14,0,2022-01-06 17:31:56,40.00121386,-82.98458015,40.12090344,-83.09449376,0.0,66.66,40.523380471,8.26
130179,2733.0,2022-01-11 05:06:08,2022-01-11 06:41:25,51,14,0,Completed,2022-07-23 18:09:23,Ford,,2010,14,0,2021-04-07 12:53:32,40.00121386,-82.98458015,40.12090344,-83.09449376,0.0,66.66,40.523380471,8.26
130179,2733.0,2022-01-11 05:06:08,2022-01-11 06:41:25,51,14,0,Completed,2022-07-23 18:09:23,Ford,,2010,14,0,2022-01-06 17:31:56,40.00121386,-82.98458015,40.12090344,-83.09449376,0.0,66.66,40.523380471,8.26
130132,2733.0,2022-01-12 02:00:09,2022-01-12 03:04:45,51,9,0,Completed,2022-01-21 18:34:22,Ford,,2010,14,0,2021-04-07 12:53:32,39.95754541,-83.03993308,39.89488315,-83.42210514,0.0,71.134,49.671757417,4.32
130132,2733.0,2022-01-12 02:00:09,2022-01-12 03:04:45,51,9,0,Completed,2022-01-21 18:34:22,Ford,,2010,14,0,2022-01-06 17:31:56,39.95754541,-83.03993308,39.89488315,-83.42210514,0.0,71.134,49.671757417,4.32
130132,2733.0,2022-01-12 02:00:09,2022-01-12 03:04:45,51,9,0,Completed,2022-07-23 18:07:15,Ford,,2010,14,0,2021-04-07 12:53:32,39.95754541,-83.03993308,39.89488315,-83.42210514,0.0,71.134,49.671757417,4.32
130132,2733.0,2022-01-12 02:00:09,2022-01-12 03:04:45,51,9,0,Completed,2022-07-23 18:07:15,Ford,,2010,14,0,2022-01-06 17:31:56,39.95754541,-83.03993308,39.89488315,-83.42210514,0.0,71.134,49.671757417,4.32
130110,2733.0,2022-01-11 20:01:03,2022-01-11 21:05:01,51,1,0,Completed,2022-01-21 18:34:49,Ford,,2010,14,0,2021-04-07 12:53:32,39.7859255,-82.94072321,39.97542611,-82.88081991,0.0,66.257,39.351429467,13.07
130110,2733.0,2022-01-11 20:01:03,2022-01-11 21:05:01,51,1,0,Completed,2022-01-21 18:34:49,Ford,,2010,14,0,2022-01-06 17:31:56,39.7859255,-82.94072321,39.97542611,-82.88081991,0.0,66.257,39.351429467,13.07
130110,2733.0,2022-01-11 20:01:03,2022-01-11 21:05:01,51,1,0,Completed,2022-07-23 18:06:21,Ford,,2010,14,0,2021-04-07 12:53:32,39.7859255,-82.94072321,39.97542611,-82.88081991,0.0,66.257,39.351429467,13.07
130110,2733.0,2022-01-11 20:01:03,2022-01-11 21:05:01,51,1,0,Completed,2022-07-23 18:06:21,Ford,,2010,14,0,2022-01-06 17:31:56,39.7859255,-82.94072321,39.97542611,-82.88081991,0.0,66.257,39.351429467,13.07
129859,2733.0,2022-01-11 02:00:06,2022-01-11 03:04:41,51,9,0,Completed,2022-01-21 18:36:21,Ford,,2010,14,0,2021-04-07 12:53:32,39.95071793,-83.03674303,39.89495248,-83.42258137,0.0,70.507,48.374180905,3.85
129859,2733.0,2022-01-11 02:00:06,2022-01-11 03:04:41,51,9,0,Completed,2022-01-21 18:36:21,Ford,,2010,14,0,2022-01-06 17:31:56,39.95071793,-83.03674303,39.89495248,-83.42258137,0.0,70.507,48.374180905,3.85
129859,2733.0,2022-01-11 02:00:06,2022-01-11 03:04:41,51,9,0,Completed,2022-07-23 17:55:11,Ford,,2010,14,0,2021-04-07 12:53:32,39.95071793,-83.03674303,39.89495248,-83.42258137,0.0,70.507,48.374180905,3.85
129859,2733.0,2022-01-11 02:00:06,2022-01-11 03:04:41,51,9,0,Completed,2022-07-23 17:55:11,Ford,,2010,14,0,2022-01-06 17:31:56,39.95071793,-83.03674303,39.89495248,-83.42258137,0.0,70.507,48.374180905,3.85
129674,2733.0,2022-01-10 20:01:24,2022-01-10 21:03:46,51,1,0,Completed,2022-01-21 18:37:27,Ford,,2010,14,0,2021-04-07 12:53:32,39.78294809,-82.94338127,39.97515727,-82.88119306,0.0,65.989,35.943087079,13.26
129674,2733.0,2022-01-10 20:01:24,2022-01-10 21:03:46,51,1,0,Completed,2022-01-21 18:37:27,Ford,,2010,14,0,2022-01-06 17:31:56,39.78294809,-82.94338127,39.97515727,-82.88119306,0.0,65.989,35.943087079,13.26
129674,2733.0,2022-01-10 20:01:24,2022-01-10 21:03:46,51,1,0,Completed,2022-07-23 17:47:46,Ford,,2010,14,0,2021-04-07 12:53:32,39.78294809,-82.94338127,39.97515727,-82.88119306,0.0,65.989,35.943087079,13.26
