id,scheduled_ts,pickup_ts,dropoff_ts,requested_ts,created_by,special_assistance,organization_id,ride_type,status,estimated_miles,fare,discount,route_id,updated_at,type,pricing_mode
741973,2022-01-26 21:30:00,2022-01-26 21:33:59,2022-01-26 21:58:00,2022-01-22 13:54:25,22114,False,1,Ready By,Completed,5.9,17.0,0.0,133344,2022-01-26 21:58:01,Other,Rider Paid
741974,2022-01-27 21:30:00,2022-01-27 21:33:57,2022-01-27 21:37:13,2022-01-22 13:59:39,22114,False,1,Ready By,Completed,5.9,17.0,0.0,133342,2022-01-27 21:37:14,Other,Rider Paid
736231,2022-01-18 21:30:00,2022-01-18 21:34:08,2022-01-18 21:58:57,2022-01-15 06:31:07,22114,False,1,Ready By,Completed,5.9,17.0,0.0,131691,2022-01-18 21:58:59,Other,Rider Paid
856334,2022-05-29 16:00:00,2022-05-29 18:18:34,2022-05-29 16:41:08,2022-05-27 17:23:55,1997,True,1,Ready By,Completed,8.9,17.0,0.0,162875,2022-05-29 18:44:09,Other,Rider Paid
856334,2022-05-29 16:00:00,2022-05-29 18:18:34,2022-05-29 18:44:08,2022-05-27 17:23:55,1997,True,1,Ready By,Completed,8.9,17.0,0.0,162875,2022-05-29 18:44:09,Other,Rider Paid
856334,2022-05-29 16:00:00,2022-05-29 16:41:08,2022-05-29 16:41:08,2022-05-27 17:23:55,1997,True,1,Ready By,Completed,8.9,17.0,0.0,162875,2022-05-29 18:44:09,Other,Rider Paid
856334,2022-05-29 16:00:00,2022-05-29 16:41:08,2022-05-29 18:44:08,2022-05-27 17:23:55,1997,True,1,Ready By,Completed,8.9,17.0,0.0,162875,2022-05-29 18:44:09,Other,Rider Paid
848781,2022-05-26 20:30:00,2022-05-24 18:50:09,2022-05-24 18:50:09,2022-05-23 14:16:00,4400,False,1,Ready By,Completed,5.9,16.15,0.81,162097,2022-05-26 21:08:19,Other,Rider Paid
848781,2022-05-26 20:30:00,2022-05-26 20:43:00,2022-05-26 21:08:17,2022-05-23 14:16:00,4400,False,1,Ready By,Completed,5.9,16.15,0.81,162097,2022-05-26 21:08:19,Other,Rider Paid
848781,2022-05-26 20:30:00,2022-05-24 18:50:09,2022-05-26 21:08:17,2022-05-23 14:16:00,4400,False,1,Ready By,Completed,5.9,16.15,0.81,162097,2022-05-26 21:08:19,Other,Rider Paid
848781,2022-05-26 20:30:00,2022-05-26 20:43:00,2022-05-24 18:50:09,2022-05-23 14:16:00,4400,False,1,Ready By,Completed,5.9,16.15,0.81,162097,2022-05-26 21:08:19,Other,Rider Paid
848778,2022-05-25 20:30:00,2022-05-25 21:19:56,2022-05-24 15:31:06,2022-05-23 14:14:14,4400,False,1,Ready By,Completed,5.9,17.0,0.0,162024,2022-05-25 21:40:19,Other,Rider Paid
848778,2022-05-25 20:30:00,2022-05-25 21:19:56,2022-05-25 21:40:17,2022-05-23 14:14:14,4400,False,1,Ready By,Completed,5.9,17.0,0.0,162024,2022-05-25 21:40:19,Other,Rider Paid
843689,2022-05-18 20:30:00,2022-05-18 20:48:06,2022-05-18 21:00:43,2022-05-16 15:44:47,588,False,1,Ready By,Completed,5.9,17.0,0.0,160707,2022-05-18 21:00:43,Other,Rider Paid
838522,2022-05-13 20:30:00,2022-05-13 20:36:55,2022-05-13 20:59:50,2022-05-09 13:03:49,641,False,1,Ready By,Completed,5.9,14.94,1.2,159537,2022-05-13 20:59:50,Other,Rider Paid
778027,2022-03-09 21:30:00,2022-03-09 21:34:37,2022-03-09 21:57:31,2022-03-05 17:48:21,4400,False,1,Ready By,Completed,5.9,16.15,0.81,142594,2022-03-09 21:57:31,Other,Rider Paid
741970,2022-01-24 21:30:00,2022-01-24 21:42:08,2022-01-24 22:07:54,2022-01-22 13:46:51,22114,False,1,Ready By,Completed,5.9,17.0,0.0,133059,2022-01-24 22:07:55,Other,Rider Paid
838521,2022-05-12 20:30:00,2022-05-12 20:35:32,2022-05-12 20:57:48,2022-05-09 13:03:49,641,False,1,Ready By,Completed,5.9,14.94,1.2,159141,2022-05-12 20:57:48,Other,Rider Paid
755927,2022-02-07 20:00:00,2022-02-07 20:36:16,2022-02-07 20:55:49,2022-02-04 15:16:31,4400,False,1,Ready By,Completed,4.6,14.0,0.0,135787,2022-02-07 20:55:50,Other,Rider Paid
879574,2022-06-22 15:30:00,2022-06-22 15:34:42,2022-06-22 15:55:07,2022-06-20 15:59:40,4400,False,1,Ready By,Completed,7.6,17.0,0.0,168374,2022-06-22 15:55:08,Other,Rider Paid
919318,2022-07-20 14:15:00,2022-07-20 14:10:52,2022-07-20 14:27:19,2022-07-15 17:39:30,1997,False,1,Ready By,Completed,8.5,17.0,0.0,174910,2022-07-20 14:27:20,Other,Rider Paid
919317,2022-07-20 13:00:00,2022-07-20 13:05:42,2022-07-20 13:36:32,2022-07-15 17:39:24,1997,False,1,Ready By,Completed,8.3,17.0,0.0,174909,2022-07-20 13:36:33,Other,Rider Paid
843690,2022-05-19 20:30:00,2022-05-19 20:35:14,2022-05-19 23:23:11,2022-05-16 15:45:23,588,False,1,Ready By,Completed,5.9,17.0,0.0,161057,2022-05-19 23:23:11,Other,Rider Paid
838520,2022-05-11 20:30:00,2022-05-11 20:40:26,2022-05-11 21:02:46,2022-05-09 13:03:49,641,False,1,Ready By,Completed,5.9,14.94,1.2,158733,2022-05-11 21:02:46,Other,Rider Paid
834605,2022-05-05 20:30:00,2022-05-05 20:34:48,2022-05-05 22:47:13,2022-05-02 15:59:51,4400,False,1,Ready By,Completed,5.9,16.15,0.81,157560,2022-05-05 22:47:14,Other,Rider Paid
834605,2022-05-05 20:30:00,2022-05-04 19:29:05,2022-05-05 22:47:13,2022-05-02 15:59:51,4400,False,1,Ready By,Completed,5.9,16.15,0.81,157560,2022-05-05 22:47:14,Other,Rider Paid
834605,2022-05-05 20:30:00,2022-05-05 20:34:48,2022-05-04 19:29:05,2022-05-02 15:59:51,4400,False,1,Ready By,Completed,5.9,16.15,0.81,157560,2022-05-05 22:47:14,Other,Rider Paid
834605,2022-05-05 20:30:00,2022-05-04 19:29:05,2022-05-04 19:29:05,2022-05-02 15:59:51,4400,False,1,Ready By,Completed,5.9,16.15,0.81,157560,2022-05-05 22:47:14,Other,Rider Paid
811731,2022-04-08 20:30:00,2022-04-08 20:34:42,2022-04-08 21:00:21,2022-04-03 18:22:23,588,False,1,Ready By,Completed,5.9,17.0,0.0,151085,2022-04-08 21:00:21,Other,Rider Paid
756719,2022-02-10 21:30:00,2022-02-10 21:34:46,2022-02-10 21:55:46,2022-02-05 01:31:01,22114,False,1,Ready By,Completed,5.9,17.0,0.0,137155,2022-02-12 14:07:54,Other,Rider Paid
756718,2022-02-09 21:30:00,2022-02-09 21:34:16,2022-02-09 21:59:56,2022-02-05 01:29:32,22114,False,1,Ready By,Completed,5.9,17.0,0.0,137063,2022-02-09 21:59:57,Other,Rider Paid
741971,2022-01-25 21:30:00,2022-01-25 21:34:59,2022-01-25 22:00:15,2022-01-22 13:50:30,22114,False,1,Ready By,Completed,5.9,17.0,0.0,133243,2022-01-25 22:00:17,Other,Rider Paid
848782,2022-05-27 20:30:00,2022-05-27 20:35:14,2022-05-27 21:02:45,2022-05-23 14:16:00,4400,False,1,Ready By,Completed,5.9,16.15,0.81,162534,2022-05-27 21:02:48,Other,Rider Paid
797137,2022-03-24 20:30:00,2022-03-24 20:53:01,2022-03-24 21:15:09,2022-03-19 15:14:20,641,False,1,Ready By,Completed,5.9,16.15,0.81,147209,2022-03-24 21:15:10,Other,Rider Paid
783067,2022-03-15 20:30:00,2022-03-15 20:34:32,2022-03-15 20:53:11,2022-03-12 14:41:48,588,False,1,Ready By,Completed,5.9,17.0,0.0,144577,2022-03-15 20:53:11,Other,Rider Paid
763639,2022-02-16 21:30:00,2022-02-16 21:33:51,2022-02-16 21:57:50,2022-02-12 14:07:38,22114,False,1,Ready By,Completed,5.9,17.0,0.0,138261,2022-02-19 01:00:42,Other,Rider Paid
763639,2022-02-16 21:30:00,2022-02-16 21:33:51,2022-02-16 21:57:50,2022-02-12 14:07:38,22114,False,1,Ready By,Completed,5.9,17.0,0.0,138261,2022-02-16 21:57:51,Other,Rider Paid
824664,2022-04-28 20:30:00,2022-04-28 20:33:53,2022-04-29 00:30:16,2022-04-23 23:34:05,1997,False,1,Ready By,Completed,5.9,16.15,0.81,155561,2022-04-29 00:30:17,Other,Rider Paid
755926,2022-02-07 18:50:00,2022-02-07 19:11:44,2022-02-07 19:32:22,2022-02-04 15:16:27,4400,False,1,Ready By,Completed,4.6,14.0,0.0,135786,2022-02-07 19:32:23,Other,Rider Paid
736235,2022-01-20 21:30:00,2022-01-20 21:36:26,2022-01-20 21:59:39,2022-01-15 06:39:36,22114,False,1,Ready By,Completed,5.9,17.0,0.0,131973,2022-01-22 13:45:04,Other,Rider Paid
736235,2022-01-20 21:30:00,2022-01-20 21:36:26,2022-01-20 21:59:39,2022-01-15 06:39:36,22114,False,1,Ready By,Completed,5.9,17.0,0.0,131973,2022-01-20 21:59:40,Other,Rider Paid
838518,2022-05-13 15:30:00,2022-05-13 15:28:18,2022-05-13 15:48:30,2022-05-09 13:03:47,641,False,1,Ready By,Completed,5.9,14.94,1.2,159536,2022-05-13 15:48:31,Other,Rider Paid
778897,2022-03-08 21:30:00,2022-03-08 21:35:25,2022-03-08 21:57:41,2022-03-07 23:28:26,4400,False,1,Ready By,Completed,5.9,17.0,0.0,142953,2022-03-08 21:57:41,Other,Rider Paid
911236,2022-07-12 20:30:00,2022-07-12 20:32:21,2022-07-12 22:19:26,2022-07-11 00:53:58,641,False,1,Ready By,Completed,7.6,17.0,0.0,173105,2022-07-12 22:19:28,Other,Rider Paid
756717,2022-02-09 16:30:00,2022-02-09 16:37:01,2022-02-09 16:56:04,2022-02-05 01:29:27,22114,False,1,Ready By,Completed,5.9,17.0,0.0,137062,2022-02-09 16:56:05,Other,Rider Paid
857325,2022-06-02 20:30:00,2022-06-02 20:34:33,2022-06-02 20:54:56,2022-05-30 17:55:48,22114,False,1,Ready By,Completed,7.6,17.0,0.0,163281,2022-06-02 20:54:58,Other,Rider Paid
736232,2022-01-19 16:30:00,2022-01-19 16:24:46,2022-01-19 16:45:47,2022-01-15 06:35:52,22114,False,1,Ready By,Completed,5.9,17.0,0.0,131974,2022-01-19 16:45:48,Other,Rider Paid
797136,2022-03-23 20:30:00,2022-03-23 20:34:12,2022-03-23 20:57:46,2022-03-19 15:14:20,641,False,1,Ready By,Completed,5.9,16.15,0.81,146962,2022-03-23 20:57:48,Other,Rider Paid
911237,2022-07-13 15:30:00,2022-07-13 15:39:29,2022-07-13 16:04:52,2022-07-11 00:55:14,641,False,1,Ready By,Completed,7.3,17.0,0.0,173049,2022-07-13 16:04:53,Other,Rider Paid
895482,2022-07-08 15:30:00,2022-07-08 15:33:29,2022-07-08 15:53:20,2022-07-04 15:44:44,1997,False,1,Ready By,Completed,7.3,17.0,0.0,171336,2022-07-08 15:53:22,Other,Rider Paid
712480,2022-01-12 21:30:00,2022-01-12 21:37:41,2022-01-12 22:00:56,2022-01-08 00:18:20,641,False,1,Ready By,Completed,6.0,14.94,1.2,130419,2022-01-12 22:00:57,Other,Rider Paid
712471,2022-01-10 16:30:00,2022-01-10 16:28:09,2022-01-10 16:48:10,2022-01-07 23:48:51,22114,False,1,Ready By,Completed,5.9,17.0,0.0,129751,2022-01-10 16:48:11,Other,Rider Paid
778033,2022-03-09 16:30:00,2022-03-09 16:59:36,2022-03-09 17:18:40,2022-03-05 18:19:19,4400,False,1,Ready By,Completed,5.9,17.0,0.0,142593,2022-03-09 17:18:40,Other,Rider Paid
