route_id,driver_id_x,start_ts_x,end_ts_x,vehicle_id_x,ambulatory_riders_x,handicapped_riders_x,total_riders_x,status_x,updated_at_x,make,model,year,capacity,handicapped,updated_at_y,trip_start_lat,trip_start_lon,trip_end_lat,trip_end_lon,min_speed_mph,max_speed_mph,avg_speed_mph,trip_distance_miles
140624,6.0,2022-03-03 19:14:21,2022-03-03 19:31:25,43,1,0,1,Completed,2022-03-22 19:40:05,Dodge,Caravan,2017,5,1,2021-03-02 16:33:58,41.61550515,-83.67333297,41.61550515,-83.67333297,0.0,0.0,0.0,0.0
140624,6.0,2022-03-03 19:14:21,2022-03-03 19:31:25,43,1,0,1,Completed,2022-03-22 19:40:05,Dodge,Caravan,2017,5,1,2022-07-31 18:29:57,41.61550515,-83.67333297,41.61550515,-83.67333297,0.0,0.0,0.0,0.0
140624,6.0,2022-03-03 19:14:21,2022-03-03 19:31:25,43,1,0,1,Completed,2022-07-24 01:21:52,Dodge,Caravan,2017,5,1,2021-03-02 16:33:58,41.61550515,-83.67333297,41.61550515,-83.67333297,0.0,0.0,0.0,0.0
140624,6.0,2022-03-03 19:14:21,2022-03-03 19:31:25,43,1,0,1,Completed,2022-07-24 01:21:52,Dodge,Caravan,2017,5,1,2022-07-31 18:29:57,41.61550515,-83.67333297,41.61550515,-83.67333297,0.0,0.0,0.0,0.0
141479,6.0,2022-03-02 13:00:58,2022-03-02 14:20:37,43,1,0,1,Completed,2022-03-22 19:34:28,Dodge,Caravan,2017,5,1,2021-03-02 16:33:58,41.61550515,-83.67333297,41.61550515,-83.67333297,0.0,0.0,0.0,0.0
141479,6.0,2022-03-02 13:00:58,2022-03-02 14:20:37,43,1,0,1,Completed,2022-03-22 19:34:28,Dodge,Caravan,2017,5,1,2022-07-31 18:29:57,41.61550515,-83.67333297,41.61550515,-83.67333297,0.0,0.0,0.0,0.0
141479,6.0,2022-03-02 13:00:58,2022-03-02 14:20:37,43,1,0,1,Completed,2022-07-24 01:36:01,Dodge,Caravan,2017,5,1,2021-03-02 16:33:58,41.61550515,-83.67333297,41.61550515,-83.67333297,0.0,0.0,0.0,0.0
141479,6.0,2022-03-02 13:00:58,2022-03-02 14:20:37,43,1,0,1,Completed,2022-07-24 01:36:01,Dodge,Caravan,2017,5,1,2022-07-31 18:29:57,41.61550515,-83.67333297,41.61550515,-83.67333297,0.0,0.0,0.0,0.0
174816,6.0,2022-07-19 14:40:54,2022-07-19 15:01:57,43,1,0,1,Completed,2022-08-03 13:25:51,Dodge,Caravan,2017,5,1,2021-03-02 16:33:58,40.1150123,-83.15253857,40.15030337,-83.14954739,0.0,41.763,27.04262931,2.43
174816,6.0,2022-07-19 14:40:54,2022-07-19 15:01:57,43,1,0,1,Completed,2022-08-03 13:25:51,Dodge,Caravan,2017,5,1,2022-07-31 18:29:57,40.1150123,-83.15253857,40.15030337,-83.14954739,0.0,41.763,27.04262931,2.43
147152,6.0,2022-03-29 18:11:11,2022-03-29 20:41:04,43,1,0,1,Completed,2022-07-24 03:27:57,Dodge,Caravan,2017,5,1,2021-03-02 16:33:58,41.61550515,-83.67333297,41.61550515,-83.67333297,0.0,0.0,0.0,0.0
147152,6.0,2022-03-29 18:11:11,2022-03-29 20:41:04,43,1,0,1,Completed,2022-07-24 03:27:57,Dodge,Caravan,2017,5,1,2022-07-31 18:29:57,41.61550515,-83.67333297,41.61550515,-83.67333297,0.0,0.0,0.0,0.0
147152,6.0,2022-03-29 18:11:11,2022-03-29 20:41:04,43,1,0,1,Completed,2022-04-22 19:32:36,Dodge,Caravan,2017,5,1,2021-03-02 16:33:58,41.61550515,-83.67333297,41.61550515,-83.67333297,0.0,0.0,0.0,0.0
147152,6.0,2022-03-29 18:11:11,2022-03-29 20:41:04,43,1,0,1,Completed,2022-04-22 19:32:36,Dodge,Caravan,2017,5,1,2022-07-31 18:29:57,41.61550515,-83.67333297,41.61550515,-83.67333297,0.0,0.0,0.0,0.0
162984,6.0,2022-05-31 13:43:25,2022-05-31 15:45:10,43,0,1,1,Completed,2022-06-16 13:07:30,Dodge,Caravan,2017,5,1,2021-03-02 16:33:58,41.61545826,-83.67343277,41.61545826,-83.67343277,0.0,0.0,0.0,0.0
162984,6.0,2022-05-31 13:43:25,2022-05-31 15:45:10,43,0,1,1,Completed,2022-06-16 13:07:30,Dodge,Caravan,2017,5,1,2022-07-31 18:29:57,41.61545826,-83.67343277,41.61545826,-83.67343277,0.0,0.0,0.0,0.0
136762,6.0,2022-02-08 13:32:59,2022-02-08 13:54:35,51,1,0,1,Completed,2022-02-18 19:24:25,Ford,,2010,14,0,2021-04-07 12:53:32,39.9406908,-83.05326712,39.9406908,-83.05326712,0.0,0.0,0.0,0.0
136762,6.0,2022-02-08 13:32:59,2022-02-08 13:54:35,51,1,0,1,Completed,2022-02-18 19:24:25,Ford,,2010,14,0,2022-01-06 17:31:56,39.9406908,-83.05326712,39.9406908,-83.05326712,0.0,0.0,0.0,0.0
136762,6.0,2022-02-08 13:32:59,2022-02-08 13:54:35,51,1,0,1,Completed,2022-07-24 00:13:18,Ford,,2010,14,0,2021-04-07 12:53:32,39.9406908,-83.05326712,39.9406908,-83.05326712,0.0,0.0,0.0,0.0
136762,6.0,2022-02-08 13:32:59,2022-02-08 13:54:35,51,1,0,1,Completed,2022-07-24 00:13:18,Ford,,2010,14,0,2022-01-06 17:31:56,39.9406908,-83.05326712,39.9406908,-83.05326712,0.0,0.0,0.0,0.0
138482,6.0,2022-02-17 12:54:41,2022-02-17 13:52:45,51,1,0,1,Completed,2022-02-18 19:16:23,Ford,,2010,14,0,2021-04-07 12:53:32,39.94068972,-83.05320269,39.94068972,-83.05320269,0.0,0.0,0.0,0.0
138482,6.0,2022-02-17 12:54:41,2022-02-17 13:52:45,51,1,0,1,Completed,2022-02-18 19:16:23,Ford,,2010,14,0,2022-01-06 17:31:56,39.94068972,-83.05320269,39.94068972,-83.05320269,0.0,0.0,0.0,0.0
