route_id,driver_id_x,start_ts_x,end_ts_x,vehicle_id_x,ambulatory_riders_x,handicapped_riders_x,status_x,updated_at_x,make,model,year,capacity,handicapped,updated_at_y,trip_start_lat,trip_start_lon,trip_end_lat,trip_end_lon,max_speed_mph,avg_speed_mph,trip_distance_miles
149297,2167.0,2022-04-05 05:40:35,2022-04-05 07:07:40,55,14,0,Completed,2022-04-22 19:16:01,Ford,,2018,14,0,2021-05-18 08:58:15,39.8354603,-82.96089218,40.08538112,-82.96503878,79.053,41.170655572,17.24
149297,2167.0,2022-04-05 05:40:35,2022-04-05 07:07:40,55,14,0,Completed,2022-04-22 19:16:01,Ford,,2018,14,0,2022-01-02 14:57:02,39.8354603,-82.96089218,40.08538112,-82.96503878,79.053,41.170655572,17.24
149319,2167.0,2022-04-04 18:53:46,2022-04-04 20:50:09,55,8,0,Completed,2022-07-24 04:12:01,Ford,,2018,14,0,2021-05-18 08:58:15,40.08532323,-82.9650618,39.83548722,-82.96097431,76.994,33.094080396,17.24
149319,2167.0,2022-04-04 18:53:46,2022-04-04 20:50:09,55,8,0,Completed,2022-07-24 04:12:01,Ford,,2018,14,0,2022-01-02 14:57:02,40.08532323,-82.9650618,39.83548722,-82.96097431,76.994,33.094080396,17.24
149319,2167.0,2022-04-04 18:53:46,2022-04-04 20:50:09,55,8,0,Completed,2022-04-22 19:15:35,Ford,,2018,14,0,2021-05-18 08:58:15,40.08532323,-82.9650618,39.83548722,-82.96097431,76.994,33.094080396,17.24
149319,2167.0,2022-04-04 18:53:46,2022-04-04 20:50:09,55,8,0,Completed,2022-04-22 19:15:35,Ford,,2018,14,0,2022-01-02 14:57:02,40.08532323,-82.9650618,39.83548722,-82.96097431,76.994,33.094080396,17.24
149616,2167.0,2022-04-09 20:21:52,2022-04-09 20:26:30,55,1,0,Completed,2022-07-24 04:18:23,Ford,,2018,14,0,2021-05-18 08:58:15,40.0945817,-83.09238822,40.07966802,-83.09392409,45.119,18.732772727,1.03
149616,2167.0,2022-04-09 20:21:52,2022-04-09 20:26:30,55,1,0,Completed,2022-07-24 04:18:23,Ford,,2018,14,0,2022-01-02 14:57:02,40.0945817,-83.09238822,40.07966802,-83.09392409,45.119,18.732772727,1.03
149616,2167.0,2022-04-09 20:21:52,2022-04-09 20:26:30,55,1,0,Completed,2022-04-22 19:13:03,Ford,,2018,14,0,2021-05-18 08:58:15,40.0945817,-83.09238822,40.07966802,-83.09392409,45.119,18.732772727,1.03
149616,2167.0,2022-04-09 20:21:52,2022-04-09 20:26:30,55,1,0,Completed,2022-04-22 19:13:03,Ford,,2018,14,0,2022-01-02 14:57:02,40.0945817,-83.09238822,40.07966802,-83.09392409,45.119,18.732772727,1.03
154762,2167.0,2022-04-23 12:05:56,2022-04-23 13:08:44,55,13,0,Completed,2022-07-24 04:34:56,Ford,,2018,14,0,2021-05-18 08:58:15,39.87792209,-82.92231223,40.06289746,-82.96922589,75.899,50.530408602,12.76
154762,2167.0,2022-04-23 12:05:56,2022-04-23 13:08:44,55,13,0,Completed,2022-07-24 04:34:56,Ford,,2018,14,0,2022-01-02 14:57:02,39.87792209,-82.92231223,40.06289746,-82.96922589,75.899,50.530408602,12.76
154762,2167.0,2022-04-23 12:05:56,2022-04-23 13:08:44,55,13,0,Completed,2022-05-25 20:52:01,Ford,,2018,14,0,2021-05-18 08:58:15,39.87792209,-82.92231223,40.06289746,-82.96922589,75.899,50.530408602,12.76
154762,2167.0,2022-04-23 12:05:56,2022-04-23 13:08:44,55,13,0,Completed,2022-05-25 20:52:01,Ford,,2018,14,0,2022-01-02 14:57:02,39.87792209,-82.92231223,40.06289746,-82.96922589,75.899,50.530408602,12.76
155561,2167.0,2022-04-28 19:50:54,2022-04-29 00:30:16,55,1,0,Completed,2022-07-24 04:55:40,Ford,,2018,14,0,2021-05-18 08:58:15,39.954779189999996,-82.82915976,40.08535631,-82.96508312,83.258,28.974519424,9.01
155561,2167.0,2022-04-28 19:50:54,2022-04-29 00:30:16,55,1,0,Completed,2022-07-24 04:55:40,Ford,,2018,14,0,2022-01-02 14:57:02,39.954779189999996,-82.82915976,40.08535631,-82.96508312,83.258,28.974519424,9.01
155561,2167.0,2022-04-28 19:50:54,2022-04-29 00:30:16,55,1,0,Completed,2022-05-25 20:48:18,Ford,,2018,14,0,2021-05-18 08:58:15,39.954779189999996,-82.82915976,40.08535631,-82.96508312,83.258,28.974519424,9.01
155561,2167.0,2022-04-28 19:50:54,2022-04-29 00:30:16,55,1,0,Completed,2022-05-25 20:48:18,Ford,,2018,14,0,2022-01-02 14:57:02,39.954779189999996,-82.82915976,40.08535631,-82.96508312,83.258,28.974519424,9.01
155873,2167.0,2022-05-04 05:06:10,2022-05-04 12:32:39,55,13,0,Completed,2022-07-24 05:03:45,Ford,,2018,14,0,2021-05-18 08:58:15,40.08534633,-82.96514957,40.08533219,-82.96508859,76.145,44.321042718,0.0
155873,2167.0,2022-05-04 05:06:10,2022-05-04 12:32:39,55,13,0,Completed,2022-07-24 05:03:45,Ford,,2018,14,0,2022-01-02 14:57:02,40.08534633,-82.96514957,40.08533219,-82.96508859,76.145,44.321042718,0.0
155873,2167.0,2022-05-04 05:06:10,2022-05-04 12:32:39,55,13,0,Completed,2022-05-25 20:45:38,Ford,,2018,14,0,2021-05-18 08:58:15,40.08534633,-82.96514957,40.08533219,-82.96508859,76.145,44.321042718,0.0
155873,2167.0,2022-05-04 05:06:10,2022-05-04 12:32:39,55,13,0,Completed,2022-05-25 20:45:38,Ford,,2018,14,0,2022-01-02 14:57:02,40.08534633,-82.96514957,40.08533219,-82.96508859,76.145,44.321042718,0.0
155879,2167.0,2022-05-05 02:16:21,2022-05-05 04:47:45,55,11,0,Completed,2022-07-24 05:03:56,Ford,,2018,14,0,2021-05-18 08:58:15,39.83574559,-82.96171217,40.08541199,-82.96530837,73.505,33.112279621,17.23
155879,2167.0,2022-05-05 02:16:21,2022-05-05 04:47:45,55,11,0,Completed,2022-07-24 05:03:56,Ford,,2018,14,0,2022-01-02 14:57:02,39.83574559,-82.96171217,40.08541199,-82.96530837,73.505,33.112279621,17.23
155879,2167.0,2022-05-05 02:16:21,2022-05-05 04:47:45,55,11,0,Completed,2022-05-25 20:45:22,Ford,,2018,14,0,2021-05-18 08:58:15,39.83574559,-82.96171217,40.08541199,-82.96530837,73.505,33.112279621,17.23
155879,2167.0,2022-05-05 02:16:21,2022-05-05 04:47:45,55,11,0,Completed,2022-05-25 20:45:22,Ford,,2018,14,0,2022-01-02 14:57:02,39.83574559,-82.96171217,40.08541199,-82.96530837,73.505,33.112279621,17.23
155885,2167.0,2022-05-05 00:53:23,2022-05-05 01:33:58,55,13,0,Completed,2022-07-24 05:04:04,Ford,,2018,14,0,2021-05-18 08:58:15,40.07488564,-82.96894913,39.83576584,-82.96168502,74.086,47.421037681,16.5
155885,2167.0,2022-05-05 00:53:23,2022-05-05 01:33:58,55,13,0,Completed,2022-07-24 05:04:04,Ford,,2018,14,0,2022-01-02 14:57:02,40.07488564,-82.96894913,39.83576584,-82.96168502,74.086,47.421037681,16.5
155885,2167.0,2022-05-05 00:53:23,2022-05-05 01:33:58,55,13,0,Completed,2022-05-25 20:45:10,Ford,,2018,14,0,2021-05-18 08:58:15,40.07488564,-82.96894913,39.83576584,-82.96168502,74.086,47.421037681,16.5
155885,2167.0,2022-05-05 00:53:23,2022-05-05 01:33:58,55,13,0,Completed,2022-05-25 20:45:10,Ford,,2018,14,0,2022-01-02 14:57:02,40.07488564,-82.96894913,39.83576584,-82.96168502,74.086,47.421037681,16.5
155888,2167.0,2022-05-03 05:40:58,2022-05-03 07:03:01,55,14,0,Completed,2022-07-24 05:04:08,Ford,,2018,14,0,2021-05-18 08:58:15,39.83547818,-82.96091828,40.08565125,-82.96470407,74.019,42.939863914,17.26
155888,2167.0,2022-05-03 05:40:58,2022-05-03 07:03:01,55,14,0,Completed,2022-07-24 05:04:08,Ford,,2018,14,0,2022-01-02 14:57:02,39.83547818,-82.96091828,40.08565125,-82.96470407,74.019,42.939863914,17.26
155888,2167.0,2022-05-03 05:40:58,2022-05-03 07:03:01,55,14,0,Completed,2022-05-25 20:45:01,Ford,,2018,14,0,2021-05-18 08:58:15,39.83547818,-82.96091828,40.08565125,-82.96470407,74.019,42.939863914,17.26
155888,2167.0,2022-05-03 05:40:58,2022-05-03 07:03:01,55,14,0,Completed,2022-05-25 20:45:01,Ford,,2018,14,0,2022-01-02 14:57:02,39.83547818,-82.96091828,40.08565125,-82.96470407,74.019,42.939863914,17.26
