id,scheduled_ts,pickup_ts,dropoff_ts,requested_ts,created_by,special_assistance,organization_id,ride_type,status,estimated_miles,fare,discount,route_id,updated_at,type,pricing_mode
720952,2022-02-09 17:00:00,2022-02-09 17:27:44,2022-02-08 17:27:05,2022-01-08 16:44:25,641,False,37,Ready By,Completed,2.5,6.79,1.22,136906,2022-02-09 17:37:50,Senior,Organization Paid
720952,2022-02-09 17:00:00,2022-02-08 17:27:05,2022-02-08 17:27:05,2022-01-08 16:44:25,641,False,37,Ready By,Completed,2.5,6.79,1.22,136906,2022-02-09 17:37:50,Senior,Organization Paid
720952,2022-02-09 17:00:00,2022-02-05 12:38:59,2022-02-08 17:27:05,2022-01-08 16:44:25,641,False,37,Ready By,Completed,2.5,6.79,1.22,136906,2022-02-09 17:37:50,Senior,Organization Paid
720952,2022-02-09 17:00:00,2022-02-05 12:38:59,2022-02-05 12:38:59,2022-01-08 16:44:25,641,False,37,Ready By,Completed,2.5,6.79,1.22,136906,2022-02-09 17:37:50,Senior,Organization Paid
720952,2022-02-09 17:00:00,2022-02-08 17:27:05,2022-02-09 17:37:50,2022-01-08 16:44:25,641,False,37,Ready By,Completed,2.5,6.79,1.22,136906,2022-02-09 17:37:50,Senior,Organization Paid
720952,2022-02-09 17:00:00,2022-02-09 17:27:44,2022-02-09 17:37:50,2022-01-08 16:44:25,641,False,37,Ready By,Completed,2.5,6.79,1.22,136906,2022-02-09 17:37:50,Senior,Organization Paid
720952,2022-02-09 17:00:00,2022-02-05 12:38:59,2022-02-09 17:37:50,2022-01-08 16:44:25,641,False,37,Ready By,Completed,2.5,6.79,1.22,136906,2022-02-09 17:37:50,Senior,Organization Paid
720952,2022-02-09 17:00:00,2022-02-08 17:27:05,2022-02-05 12:38:59,2022-01-08 16:44:25,641,False,37,Ready By,Completed,2.5,6.79,1.22,136906,2022-02-09 17:37:50,Senior,Organization Paid
720952,2022-02-09 17:00:00,2022-02-09 17:27:44,2022-02-05 12:38:59,2022-01-08 16:44:25,641,False,37,Ready By,Completed,2.5,6.79,1.22,136906,2022-02-09 17:37:50,Senior,Organization Paid
794383,2022-04-05 13:30:00,2022-04-05 13:45:23,2022-04-05 13:51:28,2022-03-15 17:46:20,21006,False,37,Ready By,Completed,0.7,14.0,0.0,148753,2022-04-05 13:51:28,Senior,Organization Paid
720953,2022-02-12 17:15:00,2022-02-12 17:22:48,2022-02-12 17:31:20,2022-01-08 16:44:25,685,False,37,Ready By,Completed,2.5,6.79,1.22,135716,2022-02-12 17:31:21,Senior,Organization Paid
753121,2022-02-01 16:45:00,2022-01-31 17:21:25,2022-02-01 16:52:30,2022-01-31 17:15:50,4400,False,37,Ready By,Completed,1.9,14.0,0.0,134988,2022-02-01 16:52:30,Senior,Organization Paid
753121,2022-02-01 16:45:00,2022-01-31 17:21:25,2022-01-31 17:21:25,2022-01-31 17:15:50,4400,False,37,Ready By,Completed,1.9,14.0,0.0,134988,2022-02-01 16:52:30,Senior,Organization Paid
753121,2022-02-01 16:45:00,2022-02-01 16:46:18,2022-01-31 17:21:25,2022-01-31 17:15:50,4400,False,37,Ready By,Completed,1.9,14.0,0.0,134988,2022-02-01 16:52:30,Senior,Organization Paid
753121,2022-02-01 16:45:00,2022-01-31 17:18:52,2022-01-31 17:18:52,2022-01-31 17:15:50,4400,False,37,Ready By,Completed,1.9,14.0,0.0,134988,2022-02-01 16:52:30,Senior,Organization Paid
