route_id,driver_id_x,start_ts_x,end_ts_x,vehicle_id_x,ambulatory_riders_x,handicapped_riders_x,total_riders_x,status_x,updated_at_x,make,model,year,capacity,handicapped,updated_at_y,trip_start_lat,trip_start_lon,trip_end_lat,trip_end_lon,min_speed_mph,max_speed_mph,avg_speed_mph,trip_distance_miles
138920,33.0,2022-02-18 20:51:44,2022-02-18 21:39:41,41,2,0,2,Completed,2022-02-18 21:39:42,Ford,F-350,2017,14,2,2021-03-31 17:29:22,39.98404064,-82.91713735,39.98404064,-82.91713735,0.0,0.0,0.0,0.0
138920,33.0,2022-02-18 20:51:44,2022-02-18 21:39:41,41,2,0,2,Completed,2022-02-18 21:39:42,Ford,F-350,2017,14,2,2022-01-02 14:58:56,39.98404064,-82.91713735,39.98404064,-82.91713735,0.0,0.0,0.0,0.0
138920,33.0,2022-02-18 20:51:44,2022-02-18 21:39:41,41,2,0,2,Completed,2022-02-18 21:39:42,Ford,F-350,2017,14,2,2022-07-31 18:26:34,39.98404064,-82.91713735,39.98404064,-82.91713735,0.0,0.0,0.0,0.0
138906,33.0,2022-02-18 11:40:36,2022-02-18 13:17:16,41,4,1,5,Completed,2022-02-18 19:14:53,Ford,F-350,2017,14,2,2021-03-31 17:29:22,39.98405493,-82.91723378,39.97118143,-82.96802506,0.0,57.69,22.08203096,0.89
138906,33.0,2022-02-18 11:40:36,2022-02-18 13:17:16,41,4,1,5,Completed,2022-02-18 19:14:53,Ford,F-350,2017,14,2,2022-01-02 14:58:56,39.98405493,-82.91723378,39.97118143,-82.96802506,0.0,57.69,22.08203096,0.89
138906,33.0,2022-02-18 11:40:36,2022-02-18 13:17:16,41,4,1,5,Completed,2022-02-18 19:14:53,Ford,F-350,2017,14,2,2022-07-31 18:26:34,39.98405493,-82.91723378,39.97118143,-82.96802506,0.0,57.69,22.08203096,0.89
138917,33.0,2022-02-18 18:52:33,2022-02-18 20:08:17,41,3,1,4,Completed,2022-02-18 20:08:17,Ford,F-350,2017,14,2,2021-03-31 17:29:22,39.98404064,-82.91713735,39.98404064,-82.91713735,0.0,0.0,0.0,0.0
138917,33.0,2022-02-18 18:52:33,2022-02-18 20:08:17,41,3,1,4,Completed,2022-02-18 20:08:17,Ford,F-350,2017,14,2,2022-01-02 14:58:56,39.98404064,-82.91713735,39.98404064,-82.91713735,0.0,0.0,0.0,0.0
138917,33.0,2022-02-18 18:52:33,2022-02-18 20:08:17,41,3,1,4,Completed,2022-02-18 20:08:17,Ford,F-350,2017,14,2,2022-07-31 18:26:34,39.98404064,-82.91713735,39.98404064,-82.91713735,0.0,0.0,0.0,0.0
138461,33.0,2022-02-17 19:52:16,2022-02-17 21:49:07,41,2,1,3,Completed,2022-02-18 19:16:35,Ford,F-350,2017,14,2,2021-03-31 17:29:22,39.98404394,-82.91721334,39.98404394,-82.91721334,0.0,0.0,0.0,0.0
