route_id,driver_id_x,start_ts_x,end_ts_x,vehicle_id_x,ambulatory_riders_x,handicapped_riders_x,status_x,updated_at_x,make,model,year,capacity,updated_at_y,trip_start_lat,trip_start_lon,trip_end_lat,trip_end_lon,max_speed_mph,avg_speed_mph,trip_distance_miles
148422,25445.0,2022-03-31 09:02:12,2022-03-31 10:09:34,81,13,0,Completed,2022-07-24 03:54:21,Ford,,2019,13,2022-08-19 13:42:33,39.98478357,-82.92138321,39.89486307,-83.42205366,75.764,52.784923825,6.2
148422,25445.0,2022-03-31 09:02:12,2022-03-31 10:09:34,81,13,0,Completed,2022-04-22 19:25:05,Ford,,2019,13,2021-04-07 12:51:55,39.98478357,-82.92138321,39.89486307,-83.42205366,75.764,52.784923825,6.2
148422,25445.0,2022-03-31 09:02:12,2022-03-31 10:09:34,81,13,0,Completed,2022-04-22 19:25:05,Ford,,2019,13,2022-01-02 14:57:34,39.98478357,-82.92138321,39.89486307,-83.42205366,75.764,52.784923825,6.2
148422,25445.0,2022-03-31 09:02:12,2022-03-31 10:09:34,81,13,0,Completed,2022-04-22 19:25:05,Ford,,2019,13,2022-08-19 13:42:33,39.98478357,-82.92138321,39.89486307,-83.42205366,75.764,52.784923825,6.2
148435,25445.0,2022-04-04 11:34:13,2022-04-04 13:32:57,253,13,0,Completed,2022-07-24 03:54:34,Ford,Transit,2019,0,2021-04-20 16:35:40,39.98391767,-82.9171679,39.98391767,-82.9171679,0.0,0.0,0.0
148435,25445.0,2022-04-04 11:34:13,2022-04-04 13:32:57,253,13,0,Completed,2022-07-24 03:54:34,Ford,Transit,2019,0,2021-08-31 17:56:36,39.98391767,-82.9171679,39.98391767,-82.9171679,0.0,0.0,0.0
148435,25445.0,2022-04-04 11:34:13,2022-04-04 13:32:57,253,13,0,Completed,2022-07-24 03:54:34,Ford,Transit,2019,14,2022-01-02 14:57:27,39.98391767,-82.9171679,39.98391767,-82.9171679,0.0,0.0,0.0
148435,25445.0,2022-04-04 11:34:13,2022-04-04 13:32:57,253,13,0,Completed,2022-04-22 19:24:58,Ford,Transit,2019,0,2021-04-20 16:35:40,39.98391767,-82.9171679,39.98391767,-82.9171679,0.0,0.0,0.0
148435,25445.0,2022-04-04 11:34:13,2022-04-04 13:32:57,253,13,0,Completed,2022-04-22 19:24:58,Ford,Transit,2019,0,2021-08-31 17:56:36,39.98391767,-82.9171679,39.98391767,-82.9171679,0.0,0.0,0.0
148435,25445.0,2022-04-04 11:34:13,2022-04-04 13:32:57,253,13,0,Completed,2022-04-22 19:24:58,Ford,Transit,2019,14,2022-01-02 14:57:27,39.98391767,-82.9171679,39.98391767,-82.9171679,0.0,0.0,0.0
149384,25445.0,2022-04-04 19:13:54,2022-04-04 22:14:28,253,9,0,Completed,2022-07-24 04:13:24,Ford,Transit,2019,0,2021-04-20 16:35:40,39.98391767,-82.9171679,39.98391767,-82.9171679,0.0,0.0,0.0
149384,25445.0,2022-04-04 19:13:54,2022-04-04 22:14:28,253,9,0,Completed,2022-07-24 04:13:24,Ford,Transit,2019,0,2021-08-31 17:56:36,39.98391767,-82.9171679,39.98391767,-82.9171679,0.0,0.0,0.0
149384,25445.0,2022-04-04 19:13:54,2022-04-04 22:14:28,253,9,0,Completed,2022-07-24 04:13:24,Ford,Transit,2019,14,2022-01-02 14:57:27,39.98391767,-82.9171679,39.98391767,-82.9171679,0.0,0.0,0.0
149384,25445.0,2022-04-04 19:13:54,2022-04-04 22:14:28,253,9,0,Completed,2022-04-22 19:14:45,Ford,Transit,2019,0,2021-04-20 16:35:40,39.98391767,-82.9171679,39.98391767,-82.9171679,0.0,0.0,0.0
149384,25445.0,2022-04-04 19:13:54,2022-04-04 22:14:28,253,9,0,Completed,2022-04-22 19:14:45,Ford,Transit,2019,0,2021-08-31 17:56:36,39.98391767,-82.9171679,39.98391767,-82.9171679,0.0,0.0,0.0
149384,25445.0,2022-04-04 19:13:54,2022-04-04 22:14:28,253,9,0,Completed,2022-04-22 19:14:45,Ford,Transit,2019,14,2022-01-02 14:57:27,39.98391767,-82.9171679,39.98391767,-82.9171679,0.0,0.0,0.0
